family,instance,algorithm,seed,cutoff,runtime_sec,cover_size,ref_value,rel_err,solution_file,trace_file
small,small6,LS1,11,2,0.03788824999999463,20,20,0.0,small6_LS1_2_11.sol,small6_LS1_2_11.trace
small,small6,LS1,12,2,0.038575207999997474,20,20,0.0,small6_LS1_2_12.sol,small6_LS1_2_12.trace
small,small6,LS1,13,2,0.037567541999990794,20,20,0.0,small6_LS1_2_13.sol,small6_LS1_2_13.trace
small,small6,LS1,14,2,0.03671500000000094,20,20,0.0,small6_LS1_2_14.sol,small6_LS1_2_14.trace
small,small6,LS1,15,2,0.037375625000009904,20,20,0.0,small6_LS1_2_15.sol,small6_LS1_2_15.trace
small,small6,LS1,16,2,0.03467933400000334,20,20,0.0,small6_LS1_2_16.sol,small6_LS1_2_16.trace
small,small6,LS1,17,2,0.035322249999993005,20,20,0.0,small6_LS1_2_17.sol,small6_LS1_2_17.trace
small,small6,LS1,18,2,0.036302332999994746,20,20,0.0,small6_LS1_2_18.sol,small6_LS1_2_18.trace
small,small6,LS1,19,2,0.046327875000002905,20,20,0.0,small6_LS1_2_19.sol,small6_LS1_2_19.trace
small,small6,LS1,20,2,0.0536687919999963,20,20,0.0,small6_LS1_2_20.sol,small6_LS1_2_20.trace
small,small6,LS2,1,2,0.06361016600000369,20,20,0.0,small6_LS2_2_1.sol,small6_LS2_2_1.trace
small,small6,LS2,2,2,0.06085566699999845,20,20,0.0,small6_LS2_2_2.sol,small6_LS2_2_2.trace
small,small6,LS2,3,2,0.06719204099999843,20,20,0.0,small6_LS2_2_3.sol,small6_LS2_2_3.trace
small,small6,LS2,4,2,0.03862404200000924,20,20,0.0,small6_LS2_2_4.sol,small6_LS2_2_4.trace
small,small6,LS2,5,2,0.03722245799998802,20,20,0.0,small6_LS2_2_5.sol,small6_LS2_2_5.trace
small,small6,LS2,6,2,0.03742154200000414,20,20,0.0,small6_LS2_2_6.sol,small6_LS2_2_6.trace
small,small6,LS2,7,2,0.03756433400000958,20,20,0.0,small6_LS2_2_7.sol,small6_LS2_2_7.trace
small,small6,LS2,8,2,0.0389457090000036,20,20,0.0,small6_LS2_2_8.sol,small6_LS2_2_8.trace
small,small6,LS2,9,2,0.04645087499999079,20,20,0.0,small6_LS2_2_9.sol,small6_LS2_2_9.trace
small,small6,LS2,10,2,0.04094112500000335,20,20,0.0,small6_LS2_2_10.sol,small6_LS2_2_10.trace
small,small6,LS2,11,2,0.1087845419999951,20,20,0.0,small6_LS2_2_11.sol,small6_LS2_2_11.trace
small,small6,LS2,12,2,0.25298870899999315,20,20,0.0,small6_LS2_2_12.sol,small6_LS2_2_12.trace
small,small6,LS2,13,2,0.24437637500000164,20,20,0.0,small6_LS2_2_13.sol,small6_LS2_2_13.trace
small,small6,LS2,14,2,0.18106149999999843,20,20,0.0,small6_LS2_2_14.sol,small6_LS2_2_14.trace
